repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
SparkleShare,C#,2010-10-02T15:53:38Z,2026-02-06T05:11:04Z,4948,572,137,4948,45412
parsec-vdd,C#,2022-11-05T02:44:12Z,2026-02-08T06:25:08Z,4937,240,32,4937,1176
protobuf-net,C#,2014-06-16T09:05:30Z,2026-02-05T13:33:57Z,4932,1086,528,4932,50485
MQTTnet,C#,2017-03-16T21:15:54Z,2026-02-06T20:16:55Z,4931,1144,182,4931,9360
Unigram,C#,2016-05-23T09:03:33Z,2026-02-08T04:51:45Z,4921,597,88,4921,405376
ZLinq,C#,2014-10-24T14:02:03Z,2026-02-08T01:27:26Z,4908,201,5,4908,9182
StableSwarmUI,C#,2023-05-12T07:37:09Z,2026-02-07T22:44:10Z,4896,406,65,4896,11780
ModernWpf,C#,2019-10-18T15:08:32Z,2026-02-07T11:24:15Z,4892,483,245,4892,12736
CliWrap,C#,2017-03-30T20:05:06Z,2026-02-05T11:25:25Z,4886,282,4,4886,958
Silk.NET,C#,2019-06-10T19:23:59Z,2026-02-08T00:38:04Z,4885,445,91,4885,1622876
SophiApp,C#,2021-03-22T17:10:30Z,2026-02-08T03:43:29Z,4884,207,6,4884,69555
Rubeus,C#,2018-09-23T23:59:03Z,2026-02-07T16:58:59Z,4867,865,45,4867,1123
Tai,C#,2021-11-19T15:42:49Z,2026-02-08T07:20:08Z,4840,229,153,4840,1981
WinDynamicDesktop,C#,2018-06-08T23:32:27Z,2026-02-05T01:58:15Z,4835,303,16,4835,19108
wavefunctioncollapse,C#,2018-10-25T21:48:08Z,2026-02-06T00:45:13Z,4833,541,9,4833,18349
commandline,C#,2017-11-04T17:21:03Z,2026-02-07T19:28:40Z,4797,484,324,4797,11818
greenshot,C#,2015-06-02T19:34:01Z,2026-02-08T05:47:59Z,4790,668,379,4790,49287
Emby,C#,2013-02-16T04:40:34Z,2026-02-07T09:30:11Z,4787,841,124,4787,1567749
tixl,C#,2017-06-17T22:37:11Z,2026-02-07T18:06:21Z,4765,254,193,4765,760990
winforms,C#,2018-10-19T01:54:02Z,2026-02-07T10:13:14Z,4748,1083,781,4748,270165
PKHeX,C#,2014-06-28T21:20:30Z,2026-02-08T07:22:30Z,4726,843,7,4726,106418
GalaxyBudsClient,C#,2020-06-09T21:44:20Z,2026-02-08T08:17:08Z,4713,255,92,4713,32376
mpv.net,C#,2017-08-27T07:36:32Z,2026-02-08T07:30:06Z,4713,203,130,4713,37619
MathUtilities,C#,2017-02-11T22:45:15Z,2026-02-06T12:26:05Z,4703,424,0,4703,1486
fluentui-blazor,C#,2021-03-15T21:48:18Z,2026-02-07T13:49:23Z,4674,462,33,4674,203928
one-day-one-language,C#,2023-03-30T11:39:38Z,2026-02-07T20:28:49Z,4647,244,1,4647,4719
qttabbar,C#,2019-03-22T11:21:33Z,2026-02-07T16:18:56Z,4640,311,142,4640,20636
azure-powershell,C#,2014-09-10T20:35:18Z,2026-02-08T02:02:29Z,4640,4108,1516,4640,2394218
Autofac,C#,2014-01-22T12:53:28Z,2026-02-06T04:06:47Z,4638,845,15,4638,91531
ink,C#,2016-01-23T15:38:01Z,2026-02-07T10:09:26Z,4635,516,367,4635,9156
Util,C#,2017-07-05T09:00:23Z,2026-02-07T06:36:27Z,4629,1292,3,4629,35319
perfview,C#,2015-03-27T21:48:45Z,2026-02-06T23:51:52Z,4627,756,147,4627,290589
Unity-Design-Pattern,C#,2016-10-11T04:26:01Z,2026-02-06T15:09:31Z,4601,1031,5,4601,4109
Covenant,C#,2019-02-07T15:55:18Z,2026-02-06T14:30:09Z,4600,824,88,4600,34380
CefFlashBrowser,C#,2021-03-02T05:20:05Z,2026-02-08T07:17:39Z,4598,221,52,4598,195239
Text-Grab,C#,2020-12-01T12:18:26Z,2026-02-08T00:26:28Z,4594,300,102,4594,48604
Translumo,C#,2023-06-16T12:18:22Z,2026-02-08T06:39:56Z,4561,248,73,4561,104874
Opserver,C#,2013-10-15T12:31:34Z,2026-02-06T09:02:20Z,4561,832,76,4561,125092
framework,C#,2012-04-08T13:35:01Z,2026-02-04T14:41:53Z,4553,1988,760,4553,427584
jint,C#,2014-01-10T01:51:04Z,2026-02-07T22:54:17Z,4545,590,20,4545,25087
BetterJoy,C#,2018-02-27T22:13:05Z,2026-02-06T21:47:49Z,4540,378,590,4540,14919
xunit,C#,2013-05-06T16:37:13Z,2026-02-06T19:23:45Z,4529,835,62,4529,18631
BililiveRecorder,C#,2018-03-12T10:59:26Z,2026-02-07T19:34:26Z,4527,380,122,4527,4853
shadowsocksr-csharp,C#,2017-07-27T14:46:22Z,2026-02-03T02:40:57Z,4522,1845,10,4522,8391
Fody,C#,2012-07-07T01:15:56Z,2026-02-07T21:37:11Z,4515,478,6,4515,24513
sourcegit,C#,2021-11-08T12:55:18Z,2026-02-08T07:59:38Z,4502,349,125,4502,30714
carnac,C#,2012-02-13T11:34:16Z,2026-02-08T01:11:40Z,4482,526,171,4482,21559
Steamless,C#,2017-01-06T09:20:02Z,2026-02-08T05:44:52Z,4473,268,22,4473,927
Seatbelt,C#,2018-07-24T17:38:51Z,2026-02-08T03:01:18Z,4471,757,11,4471,885
